"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C25_Endothelial_Cells_unassigned","1.4659811880893306e-14","13.833871602656293","38","47","9","18656","PROX1,SEMA3A,MMRN1,STOX2,PPFIBP1,TFPI,EFNA5,ST6GALNAC3,PDE7B"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C13_LSECs_2","4.534694555000039e-9","8.343451960543353","283","47","11","18656","FLT4,RELN,NR2F1,CD36,SEMA6A,PPFIBP1,PGM5,KDR,TFPI,ST6GALNAC3,PDE7B"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C9_LSECs_1","1.007698711785281e-8","7.996669296628612","305","47","11","18656","MMRN1,FLT4,RELN,NR2F1,CD36,PIEZO2,SEMA6A,PPFIBP1,KDR,TFPI,ST6GALNAC3"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C20_LSECs_3","0.000035192200275398246","4.453553579496389","296","47","8","18656","RELN,NR2F1,CD36,PIEZO2,SEMA6A,PPFIBP1,KDR,TFPI"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Endothelial_1","0.0006499444310438414","3.1871237730843283","439","47","8","18656","FLT4,TSPAN5,SMAD1,SEMA6A,PPFIBP1,RASGRP3,KDR,KANK3"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hEndo","0.003119988245585698","2.5058470421632513","889","47","10","18656","FLT4,SLC22A23,TSPAN5,SMAD1,PPFIBP1,RASGRP3,KDR,KANK3,TBX1,PDE7B"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hGaba","0.0038293937063978065","2.416869980811844","1106","47","11","18656","SEMA3A,STK32B,RELN,GPM6A,SV2B,SRGAP3,PIEZO2,STOX2,PPFIBP1,VAV3,EFNA5"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C29_MVECs_2","0.006822904994076378","2.166030676035885","314","47","6","18656","MMRN1,NR2F1,GPM6A,PGM5,TFPI,ST6GALNAC3"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_Adult_CJ_Immune_Cells","0.012862526411927682","1.8906737204477675","503","47","7","18656","CD36,COLEC12,STOX2,TFPI,NR2F1-AS1,KANK3,PDE7B"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C23_Endothelial_Cells_AVR","0.014811445411093483","1.8294025577224442","126","47","4","18656","GPM6A,PPFIBP1,TFPI,ST6GALNAC3"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C13_Thick_Ascending_Limb","0.01717961071278441","1.7649866814363881","131","47","4","18656","STK32B,VAV3,EFNA5,PDE7B"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C10_MVECs_1","0.029932059718748523","1.5238633969684108","270","47","5","18656","MMRN1,CD36,PGM5,KDR,ST6GALNAC3"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C11_Thin_ascending_limb","0.04484484135599486","1.3482875080151857","169","47","4","18656","PCSK6,TFPI,EFNA5,PDE7B"
